,0,1,2,4,5,6,7,8,9,10
0,интервью,средний,уметь,рассказывать,весь,направление,работать,который,очень,почему
1,ютуб,сайт,математик,канал,любить,заниматься,приходить,информация,хотеть,обучение
2,школа,изучать,считать,интересный,сеть,лицо,ссылка,привет,данный,специальность
3,заканчивать,высокий,экономика,человек,нейронный,разметка,профессия,заниматься,мочь,программист
4,математический,путь,особенно,крутой,программа,просьба,становиться,коллега,знать,становиться
5,видео,сразу,идея,слушать,тема,заинтересованный,машина,думать,вопрос,изучать
6,рука,программирование,мочь,спасибо,прямой,расти,курсы,статистика,большой,компания
7,забывать,хороший,создавать,интервью,самый,личка,хотеть,проходить,учиться,часто
8,представлять,начинать,модель,интересно,говорить,обработка,понимать,нужно,спасибо,весь
9,слово,математика,делать,очень,просто,команда,дата,курс,видео,работа
